# Started Tue Oct 21 20:01:56 2025
stream_id,event_id,sampled_ts,arrival_ts,event_ts,datatype,unit,value,origin,reconstructed_value,reconstructed_confidence,reconstruction_method,confidence,reconstruction_flag,status,source,extras,reconstruction_time
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201505191000_Water_Temperature,None,1761091316.9866207,1432029600,float,None,11.2,source,11.199667774086379,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 11.2},1761091316.987619
63rd_Street_Beach_Turbidity,63rdStreetBeach201505191000_Turbidity,None,1761091316.9866207,1432029600,float,None,1.19,source,1.186046511627907,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.19},1761091316.987619
63rd_Street_Beach_Wave_Height,63rdStreetBeach201505191000_Wave_Height,None,1761091316.9866207,1432029600,float,None,0.209,source,0.20854485049833887,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.209},1761091316.9886203
63rd_Street_Beach_Wave_Period,63rdStreetBeach201505191000_Wave_Period,None,1761091316.9866207,1432029600,float,None,3.0,source,2.981308411214953,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1761091316.9886203
63rd_Street_Beach_Wave_Height,63rdStreetBeach201505191100_Wave_Height,,,1432033200,,,0.20854485049833887,missing,0.20854485049833887,0.9512294249739703,KalmanFilter,0.951229424500714,True,reconstructed,,{'ground_truth': 0.204},1761091317.0490909
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201505191100_Water_Temperature,None,1761091317.0480878,1432033200,float,None,11.233333333333333,source,11.233166669407849,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 11.233333333333333},1761091317.0510936
63rd_Street_Beach_Turbidity,63rdStreetBeach201505191100_Turbidity,None,1761091317.0490909,1432033200,float,None,1.2,source,1.1999309221887797,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.2},1761091317.0521488
63rd_Street_Beach_Wave_Period,63rdStreetBeach201505191100_Wave_Period,None,1761091317.050168,1432033200,float,None,3.0,source,2.9958289885297185,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1761091317.0531247
Calumet_Beach_Water_Temperature,CalumetBeach201505191200_Water_Temperature,,,1432036800,,,11.1,missing,11.1,0.9512294248177905,KalmanFilter,0.951229424500714,True,reconstructed,,{'ground_truth': 12.9},1761091317.1131477
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201505191200_Water_Temperature,None,1761091317.1121476,1432036800,float,None,11.266666666666667,source,11.266500821031567,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 11.266666666666667},1761091317.1161435
63rd_Street_Beach_Turbidity,63rdStreetBeach201505191200_Turbidity,None,1761091317.1121476,1432036800,float,None,1.21,source,1.2099501518584739,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.21},1761091317.1171424
63rd_Street_Beach_Wave_Height,63rdStreetBeach201505191200_Wave_Height,None,1761091317.1121476,1432036800,float,None,0.199,source,0.19902374360542477,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.199},1761091317.1171424
63rd_Street_Beach_Wave_Period,63rdStreetBeach201505191200_Wave_Period,None,1761091317.1131477,1432036800,float,None,3.0,source,2.9990247470437645,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1761091317.1181421
Calumet_Beach_Turbidity,CalumetBeach201505191200_Turbidity,None,1761091317.11416,1432036800,float,None,1.22,source,1.2159468438538208,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.22},1761091317.1181421
Calumet_Beach_Wave_Height,CalumetBeach201505191200_Wave_Height,None,1761091317.1151547,1432036800,float,None,0.147,source,0.14675083056478405,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.147},1761091317.119144
Calumet_Beach_Wave_Period,CalumetBeach201505191200_Wave_Period,None,1761091317.1151547,1432036800,float,None,3.0,source,2.981308411214953,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1761091317.119144
Montrose_Beach_Water_Temperature,MontroseBeach201505191200_Water_Temperature,None,1761091317.1151547,1432036800,float,None,11.9,source,11.897342192691031,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 11.9},1761091317.120146
Montrose_Beach_Turbidity,MontroseBeach201505191200_Turbidity,None,1761091317.1151547,1432036800,float,None,0.46,source,0.45847176079734225,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.46},1761091317.120146
Montrose_Beach_Wave_Height,MontroseBeach201505191200_Wave_Height,None,1761091317.1151547,1432036800,float,None,0.232,source,0.23146843853820603,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.232},1761091317.1211455
Montrose_Beach_Wave_Period,MontroseBeach201505191200_Wave_Period,None,1761091317.1151547,1432036800,float,None,3.0,source,2.981308411214953,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1761091317.1211455
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201505191300_Water_Temperature,None,1761091317.175144,1432040400,float,None,11.3,source,11.299834158415909,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 11.3},1761091317.1771467
63rd_Street_Beach_Turbidity,63rdStreetBeach201505191300_Turbidity,None,1761091317.1761427,1432040400,float,None,1.22,source,1.219950247057182,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.22},1761091317.178143
63rd_Street_Beach_Wave_Height,63rdStreetBeach201505191300_Wave_Height,None,1761091317.1761427,1432040400,float,None,0.194,source,0.19402487032412086,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.194},1761091317.1801445
63rd_Street_Beach_Wave_Period,63rdStreetBeach201505191300_Wave_Period,None,1761091317.1761427,1432040400,float,None,3.0,source,2.9997713991798944,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1761091317.1801445
Calumet_Beach_Water_Temperature,CalumetBeach201505191300_Water_Temperature,None,1761091317.1761427,1432040400,float,None,12.9,source,12.896407185628743,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 12.9},1761091317.1801445
Calumet_Beach_Turbidity,CalumetBeach201505191300_Turbidity,None,1761091317.1771467,1432040400,float,None,1.3,source,1.2995838884228879,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.3},1761091317.1811445
Calumet_Beach_Wave_Height,CalumetBeach201505191300_Wave_Height,None,1761091317.178143,1432040400,float,None,0.147,source,0.14699876646765678,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.147},1761091317.1821444
Calumet_Beach_Wave_Period,CalumetBeach201505191300_Wave_Period,None,1761091317.178143,1432040400,float,None,3.0,source,2.9958289885297185,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1761091317.1831427
Montrose_Beach_Water_Temperature,MontroseBeach201505191300_Water_Temperature,None,1761091317.178143,1432040400,float,None,12.0,source,11.999491784674595,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 12.0},1761091317.1831427
Montrose_Beach_Turbidity,MontroseBeach201505191300_Turbidity,None,1761091317.179146,1432040400,float,None,0.5,source,0.49979441127613033,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.5},1761091317.1841435
